,Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year
1046,HHH,15.66,44.79,-5.4,-1.3,,9.3,28.8,11.3,1.9,46.8,,0.44,45.08,0.79,,0.78,0.08,3.36,18.26,13.17,22.31,10.29,1.44,Grey,,,30.12,17.35,51.44,,32.08,9.76,5.52,3.32,0.36,,,11.27,,,37.43,2.19,,,7.72,WACC vs ROIC,18.08,1.1,31.89,31.89,5.14,2.49,5/9,,,,23.15,1.26,0.48,,,22.46,9.66,3.24,1.13,1.12,3.33,1.24,139.45,3.11,3.41,,2.46,Beneish M-Score,-3.65,54.51,ROIC,,7
1047,HHRS,,53.35,,,,,,,,48.68,,63.15,50.66,1.88,,0.27,0.08,0.91,,,39.35,1.23,0.28,Grey,,,14.77,5.81,-11.25,,,2.17,2.5,6.77,0.69,,6.93,,,5.19,,3.7,,,3.46,,15.28,1.06,,,,1.68,N/A/9,,,,,,,,,3.14,,,,1.06,0.91,1.37,7.14,7.34,1.91,,3.96,WACC vs ROIC,-3.94,,ROIC,,2
1048,HI,15.54,38.72,-3.2,9.3,1.2,18,14.6,-7,12.6,44.19,2.12,4.74,39.74,2.08,,0.25,0.2,1.34,91.99,68.77,35.39,2.69,0.86,Grey,0.28,2,10.51,7.99,16.12,8.23,,1.23,1.28,9.51,0.35,2,,26.83,,,32.81,4.89,,,18.47,WACC vs ROIC,11.9,1.86,5.08,21.09,1.71,0.93,8/9,0.97,0.8,,11.75,,0.76,,,9.19,4.62,1.13,0.74,,0.86,13.69,98.28,12.32,45.65,,7.35,Beneish M-Score,-4.28,16.21,ROIC,,9
1049,HIG,9.86,56.37,4.3,-1.6,9.6,1.6,-1.3,7.8,5.7,66.06,3.8,10.49,60.57,,,,,,,,,,,,0.27,2.33,10.04,8.35,8.35,,,1.08,1.16,9.96,,2.33,7.49,22.08,,6.22,,,,,8.64,,,1.62,11.73,11.73,0.68,1.01,,,,,7.33,1.02,0.94,,,6.91,7.67,1.31,0.52,2.01,,2.75,,,14.5,,2.97,,10.62,27.34,,,9
1050,HII,-4.1,37.82,0.7,31,9.8,7.5,2.9,10.8,7.4,43.36,4.47,8.45,38.23,2.5,,0.11,0.1,0.96,7.2,21.09,23.97,2.8,0.85,Grey,0.38,2.34,15,10.16,31.16,15.31,10.27,1,1.03,6.67,0.34,2.34,,7.27,,,13.21,5.13,,,4.77,WACC vs ROIC,4.62,2.32,16.27,16.27,5.81,0.78,5/9,0.7,1.2,,23.46,9.15,0.86,,,12.92,30.01,,1.04,115.66,0.9,4.84,21.98,9.45,15.57,,3.92,Beneish M-Score,5.49,14.31,ROIC,,10
1051,HIMS,19.07,28.52,-81.7,,,47.4,46.3,57.9,2.7,16.57,,-20.31,24.4,12.07,,2.9,37.94,3.53,54.98,87.54,2.09,-0.12,0.02,Grey,,,-21.97,-26.2,98.17,19.94,17.16,1.11,1.61,-4.55,0.82,,25.97,,,,80.25,N/A,,N/A,-6.61,WACC vs ROIC,-7.33,4.15,,,,1.82,6/9,,,,111.62,,,10.69,8.09,51.68,,,,7.01,3.2,-12.39,-1085.33,-16.26,-14.92,,-33.62,Beneish M-Score,,,ROIC,,
1052,HIW,-21.62,42.6,-0.5,4.4,1.7,4.9,4.7,4.5,3.7,40.56,9.83,3.38,41.2,0.58,,0.06,0.01,1.46,,,137.01,5.55,1.29,Grey,1.38,8.75,19.99,9.76,14.02,23.15,10.95,6.97,6.7,5,0.41,8.75,,21.33,,,68.04,1.92,,,18.41,WACC vs ROIC,28.13,0.99,15.88,15.88,2.84,2.96,4/9,0.58,0.53,6.09,6.17,0.83,0.44,,,6.17,,2.85,0.44,0.99,1.46,2.6,233.55,5.42,6.21,,3.89,Beneish M-Score,-4.26,8.73,ROIC,,10
1053,HKD,-95.62,37.52,-24,13.5,,11.3,4.7,-32.7,-6.1,33.34,,-27.87,35.83,5.09,,1.17,1.36,2.29,,,90.09,2.5,0.26,Grey,,,22.05,21.13,65.05,,,,30.55,4.54,0.69,,,,,,,13.99,,,126.22,WACC vs ROIC,50.58,2.31,24.6,24.6,,29.74,5/9,,,,65.48,1.59,,,9.18,65.48,22.09,,,2.31,2.29,7.74,56.99,9.45,9.05,,3.54,Beneish M-Score,,,ROIC,,5
1054,HL,18.49,43.47,-4.7,0.7,32,-1.4,28.3,-374.7,-2.1,62.02,1.79,-16.67,48.64,1.66,,0.71,0.19,1.71,52.06,50.39,13.28,4.18,0.29,Grey,,0.53,-309.65,21.62,-24.19,39.84,10.48,4.05,4.11,-0.32,0.68,0.59,60.24,-1.97,,1.74,14.77,0.89,,,-6.52,WACC vs ROIC,5.26,1.28,,,,3.48,3/9,,,,,,1.23,,,34.31,,,1.51,1.28,1.09,-1.62,-0.38,-0.35,-2.41,,1.29,Beneish M-Score,-1.69,,ROIC,,3
1055,HLF,-31.7,43.34,10.7,-65.8,,11.3,13.7,-7.4,14.9,44.04,,-10.54,42.12,2.08,,0.42,0.19,1.11,173.93,27.38,5.94,5.04,-2.47,Grey,,,8.43,6.73,24.39,,,,0.75,11.86,-0.42,,3.65,27.77,,,77.17,2.73,,,4.48,WACC vs ROIC,8.53,,6.43,6.43,0.6,0.3,4/9,0.52,0.81,,9.31,,0.25,,,4.76,12.85,0.75,0.36,,0.68,8.23,66.16,27.39,Neg. Equity,,16.08,Beneish M-Score,10.03,5.42,ROIC,,10
1056,HLI,25.63,70.26,-1.6,16.1,19.6,16.4,10.3,-32.2,14.9,84.63,4.84,11.93,75.72,5.83,,0.76,1.06,1.18,,33.22,29.29,1.12,0.27,Grey,0.59,1.97,22.42,19.75,34.54,,15.66,3.92,4.19,4.46,0.6,2.01,21.01,24.43,,6.61,36.59,N/A,,N/A,13.55,WACC vs ROIC,18.68,4.7,29.02,29.02,1.46,4.08,5/9,,,,32.13,5.49,,,,25.31,113.48,1.25,1.25,23.38,1.18,9.21,100.25,18.01,16.04,,13.6,Beneish M-Score,0.2,34.85,ROIC,,10
1057,HLIO,12.67,40.47,-0.6,10.6,,14.1,17.1,4.1,16.3,38.51,0.64,-12.44,39.7,2.83,,0.26,0.07,2.83,123.89,46.34,59.36,3.34,0.65,Grey,0.17,0.64,22.35,14.48,38.14,15.36,11.69,2.22,2.82,4.47,0.53,0.64,,19.84,,,33.1,4.58,,,8.13,WACC vs ROIC,12.53,2.19,26.74,26.74,1.94,2.17,4/9,,,,29.33,,0.56,,,17.63,25.93,1.67,1.21,,1.42,4.6,26.41,7.96,8.68,,6.47,Beneish M-Score,-1.91,28.94,ROIC,,10
1058,HLIT,-7.5,32.97,-6.1,2.1,,26,,,7.3,32.53,,-17.38,33.61,-1,,0.25,0.45,1.15,133.13,63.03,60.79,2.61,0.46,Grey,,,24.71,19.72,-178.21,,,2.05,1.88,4.05,0.5,,,-15.84,,,52.6,13.62,,,3.4,WACC vs ROIC,8,3.16,53.94,53.94,,1.8,5/9,,,,,5.01,1.22,,,1387.11,,,3.43,10.44,0.76,3.07,38.67,11.28,6.72,,4.19,Beneish M-Score,1.46,,ROIC,,3
1059,HLMN,19.6,35.5,-1.2,,,5.9,44,,5.7,31.97,,18.71,32.84,1.46,,0.15,0.04,2.51,217.04,69.13,29.89,6.25,0.8,Grey,,,103.24,17.51,18.34,,12.42,1.63,1.78,0.97,0.47,,15.41,,,3.25,42.83,0.38,,,-1.92,WACC vs ROIC,1.72,1.42,,,,1.14,6/9,,,,11.5,,,,,7.45,,,,,0.82,-1.11,3.66,1.11,-2.41,,0.75,Beneish M-Score,2.08,,ROIC,,
1060,HLN,42.67,51.9,,-15.8,,22.9,17.4,47.2,8.6,67.83,1.27,9.18,56.7,2.72,,0.1,0.05,0.84,100.33,223.13,58.17,4.13,0.6,Grey,0.18,1.25,21.7,18.84,22.89,15.23,13.75,3.37,3.78,4.61,0.48,1.11,16.92,,,4.26,60.98,4.06,,,9.9,WACC vs ROIC,18.44,1.85,29.54,29.54,,2.89,4/9,,,,17.63,,,,,14.87,,,,,0.54,3.24,129.94,7.14,6.18,,4.8,Beneish M-Score,,,ROIC,,4
1061,HLNE,31.85,55.72,-9,27.5,13.3,-2.3,11.9,2.1,0.7,57.13,4.1,37.62,54.32,5.21,,0.6,0.45,1.02,,9.68,36.28,1.07,0.64,Grey,0.57,1.84,14.61,14.18,16.91,,,7.52,7.12,6.84,0.36,1.94,23.04,3.04,,6.57,74.25,23.2,,,20.57,WACC vs ROIC,44.85,8.16,31.59,31.59,,9.5,6/9,,,,22.76,3.39,,,,22.07,44.96,,2.84,8.16,1.02,8.59,177.67,24.51,26.6,,17.57,Beneish M-Score,1.2,36.05,ROIC,,8
1062,HLT,13.62,56.13,1.3,-33.5,-9.1,6.5,14.2,11.9,-1,56.7,0.38,13.13,57.18,2.1,,0.23,0.08,0.75,,19.66,49.29,3.98,-6.69,Grey,0.13,0.39,22.04,20.64,28.1,16.27,15.49,6.33,5.08,4.54,-0.09,0.39,22.27,2.25,20.2,-1.03,30.04,5.08,,,13.23,WACC vs ROIC,23.54,,32.24,32.24,,4.25,6/9,,,,23.68,,1.37,,,21.46,23.33,,5.75,,0.75,8.4,244.15,18.73,Neg. Equity,,11.43,Beneish M-Score,5.45,57.83,ROIC,,9
1063,HLX,103.52,65.33,-0.7,-4.4,,-22.9,,-15.6,4.7,49.69,,25.89,60.98,1.84,,0.48,0.41,1.34,,48.3,69.41,2.66,0.29,Grey,,,121.24,11.34,31.15,,,1.25,1.71,0.82,0.63,,,-11.97,,,12.61,2.61,,,-1.26,WACC vs ROIC,4.57,1.06,,,,1.47,6/9,,,,26.74,,1.02,,,16.22,,,1.1,1.06,1.34,-0.6,0.86,0.77,-0.93,,9.54,Beneish M-Score,-1.67,,ROIC,,6
1064,HMC,23.88,78.63,1.2,13.1,2.3,3.7,13.9,59.9,5.4,85.24,3.23,23.38,83.46,1.86,,0.62,0.51,1.44,56.39,31.83,57.65,4.35,0.7,Grey,0.24,2.47,10.31,6.32,11.59,13.62,7,0.76,0.69,9.7,0.45,2.47,8.73,10.08,-0.9,3.24,20.13,24.96,,,4.89,WACC vs ROIC,5.38,0.72,9.53,9.53,,0.5,7/9,,,,8.04,0.59,1.23,,,5.17,6.9,,0.53,0.77,1.11,3.43,11.41,6.4,7.58,,3.76,Beneish M-Score,4.88,13.44,ROIC,,10
1065,HMN,-21.22,57.83,0.3,-11.2,3.6,-49.1,,10.5,-1.4,72.79,5.23,-16.04,63.53,,,,,,,,,,,,,4.46,397.16,45.33,6.8,,,,1.22,0.25,,4.49,,10.55,,,,,,,-0.79,,,1.09,,,,0.89,,,,,4.94,,0.68,,,4.94,,,0.42,1.38,,-0.08,,,-0.95,,0.02,,2.67,10.17,,,9
1066,HMY,84.29,61.84,-1.2,12.8,,23.3,,22.3,14.1,74.82,0.28,7.2,67.8,2.55,,0.42,0.5,1.26,27.16,34.13,13.42,0.75,0.16,Grey,0.03,0.28,6.79,6.79,22.75,,,,1.04,14.73,0.61,1.22,,-23.92,,,19.77,7.89,,,9.78,WACC vs ROIC,16.08,1.46,10.07,10.07,,1.05,6/9,,,,22.08,0.83,1.28,,,5.15,50.15,,1.28,1.46,0.79,9.19,20.05,16.23,14.98,,12.74,Beneish M-Score,-5.23,,ROIC,,4
1067,HNI,8.53,59.61,0.9,2.8,1.6,2.6,5,-55.8,2.7,63.86,4.39,24.49,59.95,2.3,,0.06,0.04,1.22,54.9,43,38.05,3.89,1.05,Grey,0.79,3.94,20.89,11.71,32.06,13.01,7.61,0.8,1.02,4.79,0.34,3.94,12.33,11.2,8,5.34,36.52,5.5,,,3.09,WACC vs ROIC,3.21,2.11,19.81,19.81,4.13,0.64,4/9,1.72,1.69,,19.46,10,0.79,,,9.35,11.57,,0.95,112.03,0.74,4.28,17.82,9.34,10.96,,4.31,Beneish M-Score,-2.41,14.7,ROIC,,10
1068,HOG,-18.47,45.38,1.5,18.9,-25.1,12.8,22.8,-15.2,4.3,44.87,0.62,-14.62,45.74,1.71,,0.62,0.21,2.03,79.31,39.25,133.38,6.11,2.23,Grey,0.12,1.96,10.26,8.97,19.7,12.31,10.02,2.01,1.74,9.75,0.27,1.98,6.82,22.52,2.43,-1.94,38.36,29.89,,,13.03,WACC vs ROIC,15.49,1.5,6.27,6.27,,0.82,7/9,,,,9.13,0.65,0.59,,,6.88,8.5,0.8,0.48,1.53,1.69,6.59,34.43,11.81,26.78,,7.76,Beneish M-Score,8.44,8.38,ROIC,,10
1069,HOLI,-11.21,52.43,-0.8,5.2,,5.8,9.5,,14.7,29.44,,2.95,46.03,3.55,,1.37,18.43,3.03,74.65,117.04,149.69,0.27,0.03,Grey,,,4.64,4.28,-31.25,,,,0.71,21.55,0.7,,,-0.13,,,32.87,106.05,,,13.76,WACC vs ROIC,11.96,0.99,10.82,10.82,,1.52,5/9,,,,,0.7,0.71,8.58,1.27,50.15,1100.57,,0.72,1.02,2.79,6.35,76.41,9.84,9.12,,11.04,Beneish M-Score,-0.74,11.14,ROIC,,10
1070,HOLX,10.58,34.59,2.6,35.7,,86.4,,58.2,15.3,27.25,,-4.48,31.49,3.99,,2.82,0.97,4.42,121.53,36.8,61.37,2.5,0.55,Grey,,,22.81,15.69,21.4,14.54,13.2,4.3,4.41,4.38,0.56,,17.73,26.64,-2.35,-3.61,51.65,6.94,,,11.99,WACC vs ROIC,18.4,3.41,37.21,37.21,1.03,4.44,6/9,,,,21.49,5.57,1.19,,95.75,18.58,36.31,1.49,1.1,18.75,3.73,5.2,68.82,9.37,9.51,,8.66,Beneish M-Score,3.19,36.83,ROIC,,7
1071,HOMB,-4.73,44.1,-6.9,4.7,9,,-3.2,14.3,6.5,49.28,5.01,4.11,45.67,,,,,,,,,,,,0.32,3.2,,,10.65,,,5.52,4.91,,,3.27,11.57,14.18,,10.99,,,,,42.51,,,1.22,10.35,10.35,1.59,4.4,,0.55,0.7,,9.5,0.97,0.75,,,9.41,10.44,1.71,0.73,2.03,,1.88,,,12.17,,,,0.29,13.78,,,10
1072,HON,6.19,59.19,2.1,-1.3,5.7,-1.7,-4.7,-7.3,1.1,78.28,3.03,-0.17,67.88,3.89,,0.51,0.41,1.41,88.88,99.24,77.54,2.48,1.24,Grey,0.5,2.13,18.88,16.33,33.81,16.25,14.25,3.6,3.89,5.3,0.28,2.13,19.12,4.35,9.86,4.33,35.74,11.9,,,15.08,WACC vs ROIC,19.73,7.43,23.89,23.89,21.72,3.6,7/9,,,,31.33,,1.32,,,25.98,20.14,,2.12,,1.07,8.88,109.58,17.42,31.64,,13.06,Beneish M-Score,3.53,24.81,ROIC,,10
1073,HOOD,-7.47,45.68,-7.2,,,-93.7,-87,,59.2,44.7,,13.15,45.44,0.25,,0.4,2.86,1.32,,404.72,802.82,-4.28,0.42,Grey,,,-5.39,-5.9,3.6,,,2.61,2.46,-18.55,0.25,,,,,,88.43,No Debt,,,-49.58,WACC vs ROIC,-45.74,1.34,,,,5.82,4/9,,,,8.58,,,,1.45,8.36,,,,1.36,1.32,-3.21,-67.94,-10.66,-11.76,,-5.55,Beneish M-Score,4.52,,ROIC,,1
1074,HOPE,-30.95,39.62,1.7,1.4,,,10.3,41.5,8.7,35.91,6.72,-7.68,36.65,,,,,,,,,,,,0.37,6.08,,,3.04,,,,1.98,,,6.08,6.53,27.74,,,,,,,29.46,,,0.53,6.02,6.02,1.54,1.8,,0.52,0.2,,2.71,0.43,0.48,,,2.63,3.61,,0.26,0.69,,0.94,,,9.02,,,,-98.9,6.06,,,10
1075,HP,-6.68,68.1,1,-10.8,-29.4,-4.7,,,-9,73.63,1.29,16.03,71.76,3.78,,0.68,0.54,2.29,16.11,24.37,59.46,0.57,0.2,Grey,0.45,4.27,8.48,5.05,12.85,8.72,5.09,1.7,1.7,11.79,0.62,4.27,11.78,-12.96,165.28,12.81,25.81,29.47,,,14.13,WACC vs ROIC,17.87,1.67,11.93,11.96,,1.68,7/9,,,,12.57,0.96,0.66,,,6.47,8.95,,1.14,1.74,2.06,9.22,17.52,14.47,14.66,,10.13,Beneish M-Score,19.88,35.8,ROIC,,5
1076,HPE,32.36,48.07,0.3,5.5,2.2,-4.9,-5,10.1,0.4,45.19,4.9,24.37,46.85,0.82,,0.14,0.22,0.88,91.21,125.11,51.99,3.2,0.65,Grey,0.58,2.81,20.53,7.82,22.15,9.99,5.82,1.07,1.1,4.87,0.37,2.81,7.95,10.94,6,2.66,34.64,11.06,,,3.64,WACC vs ROIC,8.88,1.06,20.82,20.82,5.63,0.76,7/9,,,,15.39,3.26,,,,4.94,,3.59,0.9,11.53,0.65,1.91,26.16,4.51,5.32,,4.51,Beneish M-Score,9.35,13.66,ROIC,,9
1077,HPK,-47.75,63.72,-7.3,27.8,,,,-109.1,324.3,74.96,0.61,-33.17,68.88,1.32,,0.03,0.03,0.13,8.35,108,35.61,1.34,0.78,Grey,0.05,0.63,7,4.11,-4.75,4.74,2.9,2.24,3.22,14.29,0.45,0.63,5.9,,,,50.34,4.59,,,27.83,WACC vs ROIC,46,1.44,7.9,7.9,,1.95,4/9,,,,,0.71,,,,2.52,,,,1.44,0.12,11.27,19.96,23.84,22.83,,13.99,Beneish M-Score,-44.05,,ROIC,,2
1078,HPP,-54.73,60.72,3,-2.6,,7.1,,1,11,51.39,12.5,-20.38,58.3,0.23,,0.14,0.02,0.58,3.7,,106.22,9.56,1.53,Grey,,12.5,47.73,12.08,20.31,34.72,10.98,5.59,6.07,2.1,0.35,,,31.46,,,56.73,0.67,,,-6.25,WACC vs ROIC,11.93,0.35,,,,0.94,3/9,,0.28,3.3,3.08,,0.17,,,2.89,4.05,,0.18,0.46,0.58,-0.7,20.25,1.53,-1.94,,1.54,Beneish M-Score,-66.68,70,ROIC,,8
1079,HPQ,18.19,24.67,12.4,-53.8,16,32.2,13.8,10.2,15.9,11.45,7.01,13.88,19.16,1.96,,0.07,0.18,0.69,63.07,120.52,29.06,2.3,-4.31,Grey,0.45,3.84,10.56,8.44,12.24,7.68,6.46,0.63,0.65,9.47,-0.06,3.84,7.79,31.07,-1.51,-3.25,20.6,9.44,,,4.23,WACC vs ROIC,7.62,,11.79,11.79,0.48,0.51,6/9,,,,9.49,,0.89,,,7.8,13.13,0.47,0.49,,0.41,6.2,90.41,28.12,Neg. Equity,,12.14,Beneish M-Score,-1.87,8.62,ROIC,,10
1080,HQY,-5.08,52.77,-6.1,15.5,,4.1,,-26,9.5,48.74,,23.6,51.57,3.74,,2.81,0.31,4.09,,13.8,36.27,4.05,0.48,Grey,,,89.53,28.2,38.6,92.72,,6.67,6.95,1.12,0.64,,35.09,5.73,18.5,14.06,59.69,1.53,,,1.37,WACC vs ROIC,8.93,3.03,466.42,466.42,57.58,6.35,8/9,40.37,3.03,,35.41,,,,,28.19,102.46,,2.36,,4.09,0.42,67.83,2.46,0.67,,2.14,Beneish M-Score,0.67,287.63,ROIC,,8
1081,HR,-25.33,40.37,-41.4,12.1,1.1,6.3,-19.7,-28.1,,48.04,7.61,-11.91,43.09,0.44,,0.07,0.01,0.07,,39.6,36.82,7.01,0.79,Grey,,7.44,214.36,14.83,60.04,117.59,14.39,9.1,9.16,0.47,0.54,7.44,,11.08,,,63.74,0.28,,,-13.48,WACC vs ROIC,5.01,0.88,,,,4.67,5/9,,,12.65,32.37,,0.59,,,15.25,15.79,,0.84,0.92,0.07,-1.49,18.31,0.5,-2.77,,0.54,Beneish M-Score,-46.73,33.34,ROIC,,10
1082,HRB,-21.41,64.01,7.5,-17,3.7,63.8,391.4,226,18.3,60.51,3.56,1.61,60.97,3.19,,1.05,0.51,1.26,,34.87,1.67,2.12,60.35,Grey,0.33,3,8.6,7.38,8.96,,7.14,1.9,1.94,11.63,0.01,3.23,9.05,18.61,12.5,1.84,47.98,10.26,,,15.95,WACC vs ROIC,21.56,188.76,11.1,10.92,1.04,1.76,6/9,0.35,0.7,,8.14,,0.99,,,7.48,9.16,1.71,0.71,,1.26,18.9,145.84,38.58,Neg. Equity,,26.35,Beneish M-Score,26.62,15.36,ROIC,,9
1083,HRI,15.93,46.76,-0.1,19.7,,17.4,88.5,-79,9.7,49.05,1.97,15.2,47.06,1.21,,0.06,0.01,0.98,,63.17,60.68,3.22,3.88,Grey,0.21,1.96,12.47,5.85,-19.69,10.37,4.78,2.17,2.53,8.02,0.17,2.01,8.03,10.45,9.74,10.71,38.23,3.56,,,11.14,WACC vs ROIC,20.45,3.26,10.89,10.89,0.77,1.18,5/9,,,,,3.5,,,,3.38,9.85,0.78,,25.24,0.98,5.72,13.81,11.56,31.42,,8.85,Beneish M-Score,-21.48,27.62,ROIC,,9
1084,HRL,-12.43,45.32,-0.7,7.6,7.4,4.5,0.4,10.5,9.2,61.14,4.39,2.03,49.28,4.27,,0.3,0.21,1.4,61.96,27.59,23.98,2.23,0.43,Grey,0.68,2.84,19.68,15.87,28.03,17.74,14.73,1.88,1.93,5.08,0.57,2.88,21.23,6.34,7.38,1.24,16.82,15.41,,,7.2,WACC vs ROIC,9.18,2.71,23.75,23.75,15.83,1.73,5/9,1.8,2.15,,24.93,4.72,0.81,,,19.11,25.1,,1.48,21.13,0.65,6.6,36.14,10.22,11.57,,7.66,Beneish M-Score,2.69,20.34,ROIC,,10
1085,HRMY,-26.81,61.35,-2.5,,,,,,304.9,52.01,,-19.07,60.89,6.46,,3.99,1.94,4.9,16.3,25.55,40.39,1.12,0.4,Grey,,,14.32,12.29,13.02,,,3,4.22,6.98,0.64,,13.79,,,31.25,80.83,11.3,,,40.14,WACC vs ROIC,29.44,4.64,11.47,11.47,,4.66,5/9,,,,14.26,1.85,,23.45,12.47,14.25,,,,6.69,4.84,30.36,6894.66,25.62,52.11,,78.01,Beneish M-Score,0.02,,ROIC,,2
1086,HSAI,,48.04,,,,,-62.5,,51.5,49.37,,-23.43,48.61,4.6,,3.41,10.29,4.55,205.38,60.09,91.26,-0.66,0.08,Grey,,,-12.72,-13.12,-6.28,-110.99,146.85,2.13,3.83,-7.86,0.78,,344.83,,,,33.53,,,,-24.82,WACC vs ROIC,-30.01,2.25,,,,5.32,2/9,,,,,,,4.4,2.89,,,,,2.29,3.96,-8.91,-54.56,-13.58,-11.52,,-43.01,Beneish M-Score,,,ROIC,,
1087,HSBC,25.92,59.34,1.1,4.3,-16.8,,38.5,-2.8,1.2,81.54,5.46,14.29,68.41,,,,,,,,,,,,0.35,5.47,,,-2.05,3.25,,1.61,-0.63,,,6.62,6.54,35.47,9.1,-3.64,,,,,33.64,,,0.85,6.6,6.6,4.71,2.1,,,,,6.94,0.51,,,,5.77,,,0.23,0.91,,0.82,,,13.18,,,,1.49,13.05,,,10
1088,HSIC,5.42,41.46,2.8,7.7,,4.9,-5.9,-1.7,11.1,46.76,,-2.14,42.36,3.82,,0.06,0.07,1.72,78.18,37.85,42.28,2.11,0.53,Grey,,,16.9,12.83,21.55,10.07,9.43,0.85,0.91,5.92,0.39,,12.92,16.86,8.5,3.95,30.59,13.74,,,3.64,WACC vs ROIC,6.65,2.73,21.76,21.76,2.72,0.8,5/9,1.79,1.63,,18.78,,0.85,,,15.3,26.22,1.95,1.16,,0.91,5.3,26.33,10.5,12.95,,9.79,Beneish M-Score,-2.03,18.51,ROIC,,10
1089,HST,-11.64,56.51,,-2.9,-25.6,-6.6,-11.3,10.3,-2.9,71.35,3.08,1.65,62.8,1.97,,0.63,0.17,1.26,,36.77,,2.94,0.69,Grey,0.48,3.07,16.2,9.56,16.52,18.39,10.05,2.93,2.97,6.17,0.56,4.34,16.61,-4.16,14.57,4.07,59.17,4.67,,,14.5,WACC vs ROIC,15.56,1.69,15.81,15.81,,2.3,7/9,,,8.34,12.62,1.09,0.88,,,7.81,12.24,,1.2,1.69,1.26,6.21,170.22,8.75,11.1,,6.8,Beneish M-Score,7.25,20,ROIC,,8
1090,HSY,0.5,40.29,0.6,24.6,9,10.8,13.4,8.5,10,56.08,3.04,-9.7,45.99,5.41,,0.16,0.09,1.06,73.49,57.3,26.33,2.05,1.43,Grey,0.48,2.02,21.92,18.57,29.09,17.18,14.72,4.09,4.42,4.56,0.32,2.25,20.62,12.54,7.6,5.89,43.91,16.05,,,16.48,WACC vs ROIC,22.53,11.75,24.44,24.44,2.42,3.98,5/9,1.43,1.48,,26.4,,1.25,,,19.34,27.66,2.66,2.17,,0.55,16.27,61.22,28,54.48,,21.65,Beneish M-Score,1.71,35.1,ROIC,,10
1091,HTGC,21.55,54.32,-7.4,-0.1,6.2,,-22.7,-12.2,-15.3,70.93,12.06,46.89,58.39,,,,,,,,,,,,0.7,10.3,,,-60.7,,,8.37,10.23,,,11.64,7.97,-5.65,,,,,,,77.58,,,1.51,7.43,7.43,3.54,5.71,,,,,,0.71,0.75,,,,7.58,,5.59,1.51,,9.97,,,21.26,,,,-10.62,11,,,10
1092,HTH,14.37,42.8,10.6,10.7,23.3,,-11.3,,3.5,45.96,5.23,3.27,42.82,,,,,,,,,,,,0.4,2.16,,,14.66,,,,1.41,,,2.16,,24.24,,,,,,,8.86,,,0.92,18.58,18.58,1.63,1.67,,0.73,1.44,,16.61,0.96,1.07,,,15.43,,1.63,0.54,1.12,,0.61,,,4.97,,,,-1.83,10.93,,,10
1093,HTHT,25.64,45.89,-1.7,4.2,,-59.7,,-34.1,6.8,59.14,,-4.83,48.33,1.47,,0.51,0.2,0.67,2.06,26.18,22.36,9.11,3.07,Grey,,,43.38,28.39,26.11,22.43,17.29,6.09,6.85,2.31,0.21,,21.69,2.01,,13.01,25.75,5.61,,,6.52,WACC vs ROIC,13.7,7.13,86.63,86.63,,5.15,8/9,,,,19.72,13.37,0.87,,,16.52,32.79,,3.92,46.17,0.67,1.84,7.36,5.77,11.17,,2.03,Beneish M-Score,5.8,225.72,ROIC,,7
