AveragePriceTarget,SmartScore,Ticker,Price,Market Capitalization,Sector,Industry,AveragePriceTarget_percent
292.63,7.0,PSA/PO,17.44,52247956520.0,Finance,Real Estate Investment Trusts,1577.9243119266055
292.63,7.0,PSA/PN,17.27,52247956520.0,Finance,Real Estate Investment Trusts,1594.4412275622467
292.63,7.0,PSA/PM,18.67,52247956520.0,Finance,Real Estate Investment Trusts,1467.3808248527046
292.63,7.0,PSA/PL,21.06,52247956520.0,Finance,Real Estate Investment Trusts,1289.5061728395062
292.63,7.0,PSA/PK,21.0,52247956520.0,Finance,Real Estate Investment Trusts,1293.4761904761904
292.63,7.0,PSA/PJ,21.1,52247956520.0,Finance,Real Estate Investment Trusts,1286.8720379146916
292.63,7.0,PSA/PI,22.47,52247956520.0,Finance,Real Estate Investment Trusts,1202.31419670672
292.63,7.0,PSA/PH,24.67,52247956520.0,Finance,Real Estate Investment Trusts,1086.1775435751924
292.63,7.0,PSA/PG,23.86,52247956520.0,Finance,Real Estate Investment Trusts,1126.4459346186086
292.63,7.0,PSA/PF,23.73,52247956520.0,Finance,Real Estate Investment Trusts,1133.1647703329118
292.63,7.0,PSA,297.72,52247956520.0,Finance,Real Estate Investment Trusts,-1.7096600832997553
31.54,8.0,PRVA,23.58,2783958158.498084,Finance,Life/Health Insurance,33.75742154368109
103.14,4.0,PRU,103.88,37500681219.63151,Finance,Life/Health Insurance,-0.7123604158644541
81.13,8.0,PRTA,38.3,2055382856.187282,Health Technology,Biotechnology,111.82767624020889
,,PRS,24.36,37266031212.0,Finance,Life/Health Insurance,
46.33,6.0,PRO,39.64,1833802968.0818183,Technology Services,Information Technology Services,16.876892028254282
19.0,10.0,PRMW,15.22,2426195025.0713925,Consumer Non-Durables,Beverages: Non-Alcoholic,24.835742444152427
108.0,4.0,PRK,133.09,2144941983.2418485,Finance,Major Banks,-18.85190472612518
228.33,5.0,PRI,205.78,7209290171.178671,Finance,Life/Health Insurance,10.958304985907285
,,PRH,25.56,37266031212.0,Finance,Life/Health Insurance,
63.75,7.0,PRGS,55.07,2399143571.08585,Technology Services,Packaged Software,15.761757762847285
43.0,10.0,PRGO,31.585,4279972307.7588353,Health Technology,Pharmaceuticals: Major,36.140573056830775
39.0,8.0,PRG,31.21,1395781814.7432132,Finance,Finance/Rental/Leasing,24.959948734380003
73.17,3.0,PRFT,67.155,2335088126.848005,Commercial Services,Personnel Services,8.956890775072592
23.0,5.0,PRDO,17.73,1164646954.6502545,Consumer Services,Other Consumer Services,29.723632261703326
